Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
22-Oct-2008,2008.0,Provoked,AUSTRALIA,New South Wales,"Oceanworld, Manley",Scuba diving,Male,34.0,Small laceration to head from captive shark,N,17h20,"Grey nurse shark, 3m"
21-Oct-2008,2008.0,Unprovoked,NEW CALEDONIA,,,Spearfishing,Male,24.0,Legs bitten,N,11h00,Lemon shark
12-Oct-2008,2008.0,Provoked,AUSTRALIA,Northern Territory,Darwin,Fishing,Male,50.0,Right leg injured by hook and hooked shark PROVOKED INCIDENT,N,," reef shark, 1.8m"
11-Oct-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,Surfing,Male,15.0,"No injury, board damaged",N,15h30,
08-Oct-2008,2008.0,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",Fishing,Male,11.0,Lacerations,N,12h00,
06-Oct-2008,2008.0,Unprovoked,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,Male,43.0,Calf bitten,N,12h00,5 m white shark
28-Sep-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,44.0,Small puncture wounds to the heel of left foot,N,11h45,
28-Sep-2008,2008.0,Unprovoked,USA,Florida,Bethune Beach,Surfing,Male,40.0,Right foot bitten,N,11h00,+3' shark
15-Sep-2008,2008.0,Provoked,AUSTRALIA,Northern Territory,Near Croker Island,Swimming,Male,43.0,Right hand lacerated by netted shark PROVOKED INCIDENT,N,14h30,Bronze whaler shark
14-Sep-2008,2008.0,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,Male,32.0,Lacerations to foot,N,12h00,2' to 3' juvenile shark
09-Sep-2008,2008.0,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Surfing,Male,40.0,Bitten on right thigh & calf,N,16h30,Tiger shark
08-Sep-2008,2008.0,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,Male,,"No injury to surfer, board bitten",N,10h30,"White shark, 14' to 16' "
07-Sep-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",Surfing,Male,51.0,Shark became tangled in his surfboard leash. The surfer was not injured,N,12h00,3 m shark
06-Sep-2008,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Male,43.0,Minor injury to foot,N,12h00,
06-Sep-2008,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Male,15.0,Minor injury to foot,N,12h00,
01-Sep-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,52.0,Shark bumped right ankle,N,10h00,4' shark
Sep-2008,2008.0,Unprovoked,USA,Florida,Hutchinson Island,Surfing,Male,,Right hand bitten,N,Morning,
